_id,user_id,name,username,description,time,twt_id,text,referenced_tweets,crop_tags,geo,label_shufan,remarque_shufan
615eff5d2effc0945fc96923,1200557464606969856,Le Quéré Frédéric 🇫🇷 🇨🇲,FredericQuere,"Agriculteur 🐷🐮🌽, ingénieur en agriculture. Pour la science et le factuel. Contre l'obscurantisme et les marchands de peur. #agripapa x3. ♿",2021-09-16T08:03:21.000Z,1438413180095672320,"Ces mêmes insectes qui, soit mangent la graine(taupin...), soit consomment la plante (puceron... ) ou la blessent qui provoquent des lésions favorisant les maladies cryptogamiques : jaunisse dans le cas de la betterave.","[{'type': 'replied_to', 'id': '1438412360247611392'}]","['betterave', 'bette à cardes']",,0,
615eff5d2effc0945fc96947,1379776390501969925,casimir laine,CasimirLaine,Etudiant Jardinier en 4ème année,2021-08-24T05:50:42.000Z,1430044878176759808,#insectID Est-ce que vous pouvez m'aider à identifier cette larve ( 1 bon cm de long) qui creuse des galeries dans les pommes de terre? Classiquement on l'appelle taupin mais plus précisément ? https://t.co/owRGpGou7Y,,['pommier'],,0,
615eff5d2effc0945fc96965,608529034,Ewwet Kan,EwwetKan,,2021-08-08T13:29:52.000Z,1424362225175863300,"Le gourbi kabyle, 1890 - Jules-Charles-Clément Taupin https://t.co/SMVv9Vbuf5 #painting #paintings #paintingoftheday #peinture #Algérie #Kabylie",,['blé tendre'],,0,
615eff5d2effc0945fc96981,836290079429636096,Jean-Pierre,louislsn,,2021-07-14T19:26:59.000Z,1415392401380761609,Ce tweet qui résume parfaitement la situation d’un taupin attendant la fin de ses oraux mi juillet pour se faire vacciner et qui ne pourra probablement pas profiter de ses vacances méritées après 3 ans de calvaire https://t.co/u8pq2TDNbJ,,['attier'],,0,
615eff5d2effc0945fc9698f,416187520,Molliere David,MolliereDavid,"#france🇨🇵 #bzh @FChretienne @auvrhone
#isara #FederationDCF #fragtw @FNATTP
#chasse @Syrah",2021-07-06T22:28:27.000Z,1412538965962506241,"Réveil spinosad est utilisé en bio en mais sur taupin bebete du sol au semis , sur pyrales insectes foreurs stade 6 feuilles et plus sur taupin en pomme de terre... Et bien.. d'autres spécialités","[{'type': 'replied_to', 'id': '1412422485778309131'}]","['pomme de terre', 'pommier']",,0,
615eff5d2effc0945fc9699a,980788166138449921,hub_observateur,hub_observateur,Cultivateur de grandes cultures à la recherche de nouveaux équilibres agronomiques. Observateur assidu des bio indicateurs et auxiliaires des cultures.,2021-06-29T10:55:43.000Z,1409827915441709057,Ce doit étre un taupin adulte les araignées à toiles savent les capturer visible dans les blé pendant encore quelques semaines ....les araignées ont un rôle à jouer aussi contre les ravageurs du sol https://t.co/jqWzWYtYGI,"[{'type': 'replied_to', 'id': '1409820413698494468'}]",['blé'],,1,
615eff5d2effc0945fc969a4,875643908276998146,Jonathan Thévenet,jonathan_T_FD,Développement Variétés Céréales et Protéagineux #FlorimondDesprez. Mes tweets n'engagent que moi.,2021-06-25T10:26:34.000Z,1408371031711043584,"Le choix des maux! A ce stade, je préfère voir du taupin sur épis que de l’ergot sur triticale ou blé. https://t.co/HIoVEtIUlS",,"['triticale', 'blé']",,1,
615eff5d2effc0945fc969ac,261434313,Anissa Benkh,AnissaBenkh,"French girl, like dancing, singing and feeling like a Rockstar in my bathroom 🎤 Event Manager @OVHcloud",2021-06-19T13:36:23.000Z,1406244471075921921,"« Cloud : ce que vous utilisez tous les jours sans même le savoir » c’est le sujet de cette dernière table ronde animée par et en présence de Adelina Mattera, Antoine Escudier et Stéphane Taupin ! Prochainement en ligne ! https://t.co/jb9o0ipsBP",,"['attier', 'lin']",,0,
615eff5d2effc0945fc969c4,1097585604542586880,Aufranc Yves,AufrancYves,"éleveur chèvres laitière
Terres froides
Isère",2021-06-07T20:55:09.000Z,1402006234664951808,"Enfin ! Bébé #maïs à j+7 en pleine croissance laisse espérer une belle récolte... à condition que les #taupin, les #limace,les #corbeaux,les #sanglier l'épargnent. #biodiversite #CeuxQuiFontLeLait https://t.co/OK1uNklRc4",,['maïs'],,0,
615eff5d2effc0945fc969d0,477148652,Emmanuel 🚜🐮🌾🌽,EmmanuelSagot,jeune agri! papa et chéri comblé. 👍😊 mes tweets n’engagent que moi. #bovin #semence #légumes #céréales #irrigation #positiveagriculture #agridemain #fragtw,2021-06-02T08:05:33.000Z,1400000620342431747,"Pour résumer les dégats qu’on subit: Corbeaumaïs, tournesol Moucheharicot, maïs Taupintoutes cultures Pucerontoutes cultures La liste est encore longue, et NON la #nature n’est pas toujours bienveillante","[{'type': 'replied_to', 'id': '1400000618627055617'}]","['haricot', 'maïs', 'tournesol']",,0,
